category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Building,"[0, 1, 0, 0, 0, 0]",2,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,1777256e995e1ec6.jpg,OpenImages,"[[3, 3, 1017, 676]]",Others,Japan,1024,683,annotator188,1777256e995e1ec6_Building_1
Chair,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,1777256e995e1ec6.jpg,OpenImages,"[[28, 353, 995, 290]]",Finger,Japan,1024,683,annotator188,1777256e995e1ec6_Chair_0
Girl,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,10cae64b8b77b511.jpg,OpenImages,"[[109, 46, 644, 977]]",Person,Japan,966,1024,annotator188,10cae64b8b77b511_Girl_1
Human body,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,1777256e995e1ec6.jpg,OpenImages,"[[24, 383, 188, 96], [247, 379, 30, 90], [249, 388, 12, 15], [261, 367, 51, 96], [312, 370, 33, 96], [342, 279, 54, 54], [360, 388, 12, 10], [380, 383, 13, 12], [394, 382, 10, 15], [412, 380, 12, 15], [478, 379, 10, 10], [507, 376, 15, 10], [531, 155, 36, 33], [533, 293, 154, 255], [653, 349, 19, 30], [663, 247, 199, 290], [937, 318, 25, 42]]",Person,Japan,1024,683,annotator188,1777256e995e1ec6_Human body_3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19
Human face,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,10cae64b8b77b511.jpg,OpenImages,"[[299, 179, 215, 253]]",Person,Japan,966,1024,annotator188,10cae64b8b77b511_Human face_0
Object 0,"[0, 1, 0, 0, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,204825.jpg,LVIS,"[[122, 302, 316, 113]]",Others,Japan,427,640,annotator188,204825_Object 0_5
Object 0,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,128002.jpg,LVIS,"[[203, 17, 174, 197]]",Others,Japan,640,427,annotator188,128002_Object 0_1
Person,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,1777256e995e1ec6.jpg,OpenImages,"[[0, 247, 963, 320]]",Others,Japan,1024,683,annotator188,1777256e995e1ec6_Person_2
Tool,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,55726ee5b638029f.jpg,OpenImages,"[[0, 0, 1022, 766]]",Machine,Japan,1024,768,annotator188,55726ee5b638029f_Tool_0
Tower,"[0, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Female,1,CrowdWorks,3,5,4,9,10,22d454d3b344c67a.jpg,OpenImages,"[[86, 0, 563, 1024]]",Others,Japan,713,1024,annotator188,22d454d3b344c67a_Tower_0
