category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Human body,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,0d03c760fe72ad6e.jpg,OpenImages,"[[96, 166, 483, 719], [688, 514, 249, 371]]",Person,UK,1024,886,annotator323,0d03c760fe72ad6e_Human body_5-6
Human face,"[1, 0, 1, 0, 0, 0]",6,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,0d03c760fe72ad6e.jpg,OpenImages,"[[165, 180, 89, 130], [784, 555, 65, 89]]",Person,UK,1024,886,annotator323,0d03c760fe72ad6e_Human face_0-1
Human hair,"[0, 0, 1, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,0d03c760fe72ad6e.jpg,OpenImages,"[[129, 165, 118, 103], [758, 538, 91, 67]]",Person,UK,1024,886,annotator323,0d03c760fe72ad6e_Human hair_2-3
Human head,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,0d03c760fe72ad6e.jpg,OpenImages,"[[127, 175, 134, 130], [758, 552, 87, 98]]",Person,UK,1024,886,annotator323,0d03c760fe72ad6e_Human head_7-8
Kitchen & dining room table,"[0, 1, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,13cfe71ebbf0ae3b.jpg,OpenImages,"[[0, 528, 259, 222], [292, 483, 249, 208], [569, 467, 145, 132], [689, 580, 332, 185], [729, 452, 104, 39]]",Table,UK,1024,768,annotator323,13cfe71ebbf0ae3b_Kitchen & dining room table_1-2-3-4-5
Man,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,0d03c760fe72ad6e.jpg,OpenImages,"[[89, 168, 497, 713]]",Person,UK,1024,886,annotator323,0d03c760fe72ad6e_Man_9
Manual Label,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,146358.jpg,LVIS,"[[232, 95, 130, 116]]",Others,UK,388,640,annotator323,146358_Manual Label_0
Musical instrument,"[0, 0, 1, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]",30,Female,3,Prolific,6,6,6,8,10,0d03c760fe72ad6e.jpg,OpenImages,"[[853, 627, 104, 170]]",Musical instrument,UK,1024,886,annotator323,0d03c760fe72ad6e_Musical instrument_4
Office building,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,1654c86093ada840.jpg,OpenImages,"[[0, 0, 1024, 466]]",Place Identifier,UK,1024,466,annotator323,1654c86093ada840_Office building_2
Tower,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 0]",30,Female,3,Prolific,6,6,6,8,10,621cdf5122a8b1e0.jpg,OpenImages,"[[118, 14, 537, 1009]]",Others,UK,768,1024,annotator323,621cdf5122a8b1e0_Tower_0
Vehicle registration plate,"[1, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,030c35e683f00ad8.jpg,OpenImages,"[[441, 32, 17, 7], [732, 547, 171, 103]]",Vehicle Plate,UK,1024,768,annotator323,030c35e683f00ad8_Vehicle registration plate_0-1
bullet_train,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,177922.jpg,LVIS,"[[130, 176, 359, 249]]",Others,UK,640,480,annotator323,177922_bullet_train_0
curtain,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",30,Female,3,Prolific,6,6,6,8,10,146358.jpg,LVIS,"[[218, 29, 120, 75], [349, 104, 38, 148], [345, 29, 42, 75], [57, 100, 121, 132], [217, 103, 121, 67], [0, 100, 45, 142], [1, 29, 42, 73], [55, 29, 124, 74]]",Others,UK,388,640,annotator323,146358_curtain_4-5-6-7-8-9-10-11
