category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Book,"[0, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,8d77172370c2d4b2.jpg,OpenImages,"[[0, 0, 1024, 595]]",Book,Japan,1024,768,annotator86,8d77172370c2d4b2_Book_3
Boy,"[0, 0, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,8d77172370c2d4b2.jpg,OpenImages,"[[316, 406, 315, 313]]",Person,Japan,1024,768,annotator86,8d77172370c2d4b2_Boy_2
Human arm,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,8d77172370c2d4b2.jpg,OpenImages,"[[249, 220, 136, 470], [465, 516, 163, 145], [571, 238, 225, 350]]",Person,Japan,1024,768,annotator86,8d77172370c2d4b2_Human arm_5-6-7
Man,"[0, 0, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,8d77172370c2d4b2.jpg,OpenImages,"[[248, 102, 545, 585]]",Person,Japan,1024,768,annotator86,8d77172370c2d4b2_Man_4
Object 0,"[0, 0, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,165624613ce0b10a.jpg,OpenImages,"[[97, 249, 734, 347]]",Others,Japan,1024,768,annotator86,165624613ce0b10a_Object 0_0
Object 0,"[0, 0, 1, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,1000.jpg,LVIS,"[[56, 115, 555, 145]]",Others,Japan,640,480,annotator86,1000_Object 0_1
Object 0,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,102411.jpg,LVIS,"[[160, 106, 104, 51]]",Others,Japan,640,427,annotator86,102411_Object 0_10
Object 0,"[1, 0, 1, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,110449.jpg,LVIS,"[[44, 42, 448, 144]]",Others,Japan,500,375,annotator86,110449_Object 0_0
Object 1,"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,1000.jpg,LVIS,"[[58, 195, 43, 25]]",Others,Japan,640,480,annotator86,1000_Object 1_2
Person,"[0, 1, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,731173d27e06b210.jpg,OpenImages,"[[267, 155, 298, 718]]",Others,Japan,682,1024,annotator86,731173d27e06b210_Person_0
bus_(vehicle),"[0, 1, 0, 0, 0, 0]",2,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,15338.jpg,LVIS,"[[442, 169, 92, 110], [265, 200, 85, 59]]",Others,Japan,640,424,annotator86,15338_bus_(vehicle)_0-1
identity,"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,165624613ce0b10a.jpg,OpenImages,"[[11, 574, 1798, 1246], [1836, 869, 1417, 1579], [2966, 721, 44, 162], [2477, 681, 753, 202]]",Others,Japan,1024,768,annotator86,165624613ce0b10a_identity_1-2-3-4
identity,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,184b17c89a7514be.jpg,OpenImages,"[[182, 19, 430, 363]]",Others,Japan,612,612,annotator86,184b17c89a7514be_identity_0
license_plate,"[0, 0, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,102411.jpg,LVIS,"[[386, 250, 19, 18]]",Vehicle Plate,Japan,640,427,annotator86,102411_license_plate_0
motorcycle,"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,102411.jpg,LVIS,"[[188, 182, 225, 172]]",Others,Japan,640,427,annotator86,102411_motorcycle_1
painting,"[0, 1, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,180578.jpg,LVIS,"[[355, 58, 114, 118], [624, 36, 15, 151]]",Others,Japan,640,480,annotator86,180578_painting_4-5
