category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Boy,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,86a6366f57093823.jpg,OpenImages,"[[76, 134, 157, 441], [142, 205, 212, 370], [368, 194, 166, 381]]",Person,Japan,1024,576,annotator118,86a6366f57093823_Boy_10-11-12
Building,"[0, 1, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,86a6366f57093823.jpg,OpenImages,"[[0, 0, 1018, 571]]",Others,Japan,1024,576,annotator118,86a6366f57093823_Building_7
Car,"[0, 1, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,0443efb101717113.jpg,OpenImages,"[[0, 89, 16, 67], [87, 105, 833, 481]]",Others,Japan,1024,682,annotator118,0443efb101717113_Car_0-1
Dog,"[1, 1, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,0007cebe1b2ba653.jpg,OpenImages,"[[430, 123, 382, 368]]",Pet,Japan,1024,683,annotator118,0007cebe1b2ba653_Dog_1
Human body,"[1, 0, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,1e7b2a58768e328c.jpg,OpenImages,"[[53, 52, 584, 970]]",Person,Japan,667,1024,annotator118,1e7b2a58768e328c_Human body_2
Human face,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,1e7b2a58768e328c.jpg,OpenImages,"[[135, 50, 420, 344]]",Person,Japan,667,1024,annotator118,1e7b2a58768e328c_Human face_0
Human head,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,1e7b2a58768e328c.jpg,OpenImages,"[[135, 49, 405, 344]]",Person,Japan,667,1024,annotator118,1e7b2a58768e328c_Human head_3
Man,"[1, 1, 0, 0, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,86a6366f57093823.jpg,OpenImages,"[[0, 197, 119, 377], [357, 56, 230, 505]]",Person,Japan,1024,576,annotator118,86a6366f57093823_Man_13-14
Person,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,86a6366f57093823.jpg,OpenImages,"[[605, 253, 184, 322], [755, 62, 205, 513]]",Others,Japan,1024,576,annotator118,86a6366f57093823_Person_8-9
Person,"[1, 1, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,0007cebe1b2ba653.jpg,OpenImages,"[[752, 0, 202, 252]]",Others,Japan,1024,683,annotator118,0007cebe1b2ba653_Person_2
Picture frame,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,53f9fa304263f470.jpg,OpenImages,"[[691, 12, 145, 171]]",Photo,Japan,1024,768,annotator118,53f9fa304263f470_Picture frame_3
Trousers,"[1, 1, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,0007cebe1b2ba653.jpg,OpenImages,"[[753, 15, 194, 259]]",Others,Japan,1024,683,annotator118,0007cebe1b2ba653_Trousers_0
Vehicle registration plate,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",50,Female,1,CrowdWorks,4,5,7,9,6,0443efb101717113.jpg,OpenImages,"[[667, 423, 148, 58]]",Vehicle Plate,Japan,1024,682,annotator118,0443efb101717113_Vehicle registration plate_2
