category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Baked goods,"[1, 1, 1, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,2a509a3520ada9ca.jpg,OpenImages,"[[0, 201, 1024, 566]]",Others,Japan,1024,768,annotator170,2a509a3520ada9ca_Baked goods_0
Ball,"[0, 1, 0, 1, 0, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,022caa5e84da4026.jpg,OpenImages,"[[353, 109, 43, 40]]",Others,Japan,1024,671,annotator170,022caa5e84da4026_Ball_33
Boy,"[1, 1, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[0, 57, 1024, 710], [567, 529, 456, 238]]",Person,Japan,1024,768,annotator170,319305414bb65188_Boy_20-21
Clothing,"[0, 0, 1, 1, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,2a509a3520ada9ca.jpg,OpenImages,"[[544, 0, 478, 132]]",Clothing,Japan,1024,768,annotator170,2a509a3520ada9ca_Clothing_1
Clothing,"[1, 0, 1, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[0, 422, 829, 343], [567, 512, 454, 253]]",Clothing,Japan,1024,768,annotator170,319305414bb65188_Clothing_8-9
Clothing,"[1, 1, 1, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,022caa5e84da4026.jpg,OpenImages,"[[0, 0, 1024, 671]]",Clothing,Japan,1024,671,annotator170,022caa5e84da4026_Clothing_16
Clothing,"[1, 1, 1, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,03feb3e6845bc3aa.jpg,OpenImages,"[[0, 513, 212, 510], [223, 225, 444, 619]]",Clothing,Japan,768,1024,annotator170,03feb3e6845bc3aa_Clothing_0-1
Glasses,"[1, 0, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[488, 202, 283, 108]]",Accessory,Japan,1024,768,annotator170,319305414bb65188_Glasses_4
Human arm,"[1, 0, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[0, 317, 1024, 450], [759, 616, 264, 151], [983, 546, 40, 147]]",Person,Japan,1024,768,annotator170,319305414bb65188_Human arm_22-23-24
Human ear,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[667, 324, 121, 108]]",Person,Japan,1024,768,annotator170,319305414bb65188_Human ear_18
Human eye,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[194, 313, 70, 36], [328, 294, 76, 38]]",Person,Japan,1024,768,annotator170,319305414bb65188_Human eye_14-15
Human face,"[1, 0, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[136, 145, 305, 439], [443, 106, 345, 407]]",Person,Japan,1024,768,annotator170,319305414bb65188_Human face_0-1
Human hair,"[1, 1, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,022caa5e84da4026.jpg,OpenImages,"[[20, 59, 29, 22], [100, 46, 29, 23], [178, 64, 23, 19], [182, 287, 38, 38], [220, 64, 29, 25], [311, 166, 35, 62], [336, 47, 16, 14], [393, 4, 28, 26], [419, 244, 28, 37], [491, 19, 26, 23], [552, 31, 26, 26], [595, 459, 35, 44], [645, 10, 28, 26], [664, 292, 26, 32], [723, 250, 35, 46], [779, 596, 40, 50]]",Person,Japan,1024,671,annotator170,022caa5e84da4026_Human hair_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15
Human hair,"[1, 1, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[59, 55, 428, 364], [601, 59, 313, 360]]",Person,Japan,1024,768,annotator170,319305414bb65188_Human hair_2-3
Human head,"[1, 1, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[138, 57, 302, 518], [435, 64, 480, 437]]",Person,Japan,1024,768,annotator170,319305414bb65188_Human head_12-13
Human mouth,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[241, 450, 136, 53]]",Person,Japan,1024,768,annotator170,319305414bb65188_Human mouth_19
Mammal,"[1, 1, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[0, 59, 1021, 706], [433, 59, 588, 706]]",Others,Japan,1024,768,annotator170,319305414bb65188_Mammal_16-17
Man,"[1, 0, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[435, 81, 586, 684]]",Person,Japan,1024,768,annotator170,319305414bb65188_Man_26
Man,"[1, 1, 0, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,03feb3e6845bc3aa.jpg,OpenImages,"[[228, 136, 435, 755]]",Person,Japan,768,1024,annotator170,03feb3e6845bc3aa_Man_2
Man,"[1, 1, 1, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,022caa5e84da4026.jpg,OpenImages,"[[0, 0, 46, 70], [0, 58, 77, 173], [0, 76, 110, 236], [47, 0, 70, 53], [74, 50, 91, 184], [118, 0, 65, 47], [127, 271, 218, 348], [149, 61, 164, 278], [157, 64, 61, 64], [173, 0, 65, 43], [244, 41, 70, 77], [309, 44, 70, 70], [321, 136, 115, 374], [341, 244, 176, 319], [363, 8, 83, 101], [398, 179, 92, 236], [459, 17, 85, 91], [538, 31, 76, 70], [552, 456, 160, 212], [577, 293, 185, 269], [613, 16, 83, 82], [687, 245, 158, 304], [738, 593, 115, 76], [989, 52, 32, 94]]",Person,Japan,1024,671,annotator170,022caa5e84da4026_Man_46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69
Object 0,"[1, 1, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,0747097f650f1273.jpg,OpenImages,"[[243, 498, 201, 132]]",Others,Japan,1024,682,annotator170,0747097f650f1273_Object 0_0
Object 0,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,252576.jpg,LVIS,"[[126, 147, 142, 99]]",Others,Japan,426,640,annotator170,252576_Object 0_1
Person,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,4aa5d7328d424408.jpg,OpenImages,"[[548, 340, 140, 220]]",Others,Japan,1024,768,annotator170,4aa5d7328d424408_Person_0
Sports equipment,"[0, 1, 0, 0, 0, 0]",2,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,022caa5e84da4026.jpg,OpenImages,"[[131, 591, 20, 23], [155, 323, 20, 19], [203, 596, 46, 29], [257, 302, 40, 29], [339, 467, 31, 49], [342, 537, 29, 25], [365, 464, 25, 43], [471, 536, 50, 26], [684, 536, 43, 32], [741, 494, 47, 31], [785, 17, 113, 85], [799, 519, 47, 29]]",Others,Japan,1024,671,annotator170,022caa5e84da4026_Sports equipment_34-35-36-37-38-39-40-41-42-43-44-45
Sports uniform,"[1, 1, 1, 1, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,022caa5e84da4026.jpg,OpenImages,"[[76, 71, 88, 97], [161, 116, 115, 169], [161, 328, 88, 197], [163, 83, 59, 41], [250, 68, 59, 47], [315, 74, 59, 50], [317, 197, 91, 199], [360, 281, 110, 197], [387, 37, 53, 80], [471, 47, 68, 67], [537, 59, 82, 47], [576, 512, 91, 154], [591, 301, 113, 142], [613, 35, 88, 64], [693, 293, 127, 175], [753, 651, 95, 17]]",Others,Japan,1024,671,annotator170,022caa5e84da4026_Sports uniform_17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
Toy,"[0, 0, 0, 1, 0, 0]",2,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,2a509a3520ada9ca.jpg,OpenImages,"[[368, 235, 99, 147], [438, 260, 136, 151], [579, 398, 171, 182]]",Toy,Japan,1024,768,annotator170,2a509a3520ada9ca_Toy_2-3-4
Woman,"[1, 1, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,319305414bb65188.jpg,OpenImages,"[[0, 51, 1024, 716]]",Person,Japan,1024,768,annotator170,319305414bb65188_Woman_25
dog,"[0, 1, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,110735.jpg,LVIS,"[[175, 188, 212, 100]]",Pet,Japan,640,480,annotator170,110735_dog_0
flag,"[0, 1, 0, 0, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,252576.jpg,LVIS,"[[75, 132, 41, 25]]",Others,Japan,426,640,annotator170,252576_flag_0
tag,"[0, 1, 0, 0, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,145820.jpg,LVIS,"[[569, 217, 16, 20], [326, 157, 13, 13], [511, 265, 14, 20], [397, 159, 9, 15], [530, 225, 17, 33], [310, 142, 10, 11]]",Printed Material,Japan,640,425,annotator170,145820_tag_0-1-2-3-4-5
