category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
Chair,"[0, 1, 0, 0, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,23c9df7f5d2945cd.jpg,OpenImages,"[[0, 0, 1022, 557], [0, 25, 76, 166], [0, 184, 354, 351], [0, 342, 636, 332]]",Finger,Japan,1024,678,annotator47,23c9df7f5d2945cd_Chair_0-1-2-3,23c9df7f5d2945cd_Chair_0-1-2-3_annotator47
Furniture,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,23c9df7f5d2945cd.jpg,OpenImages,"[[0, 0, 433, 118], [103, 36, 458, 150], [339, 150, 682, 208], [342, 0, 512, 88], [436, 33, 490, 88], [572, 96, 171, 72], [587, 242, 245, 254], [750, 117, 237, 42], [765, 515, 159, 159], [807, 186, 215, 130], [840, 237, 181, 350]]",Others,Japan,1024,678,annotator47,23c9df7f5d2945cd_Furniture_4-5-6-7-8-9-10-11-12-13-14,23c9df7f5d2945cd_Furniture_4-5-6-7-8-9-10-11-12-13-14_annotator47
House,"[0, 1, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,2b2c4fe6d63a13e4.jpg,OpenImages,"[[0, 0, 1022, 678]]",Others,Japan,1024,680,annotator47,2b2c4fe6d63a13e4_House_0,2b2c4fe6d63a13e4_House_0_annotator47
Human body,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,0a8657e8b5c9d7bb.jpg,OpenImages,"[[123, 93, 501, 426]]",Person,Japan,1024,683,annotator47,0a8657e8b5c9d7bb_Human body_6,0a8657e8b5c9d7bb_Human body_6_annotator47
Human face,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,282ffaca54c71954.jpg,OpenImages,"[[218, 176, 265, 420]]",Person,Japan,680,1024,annotator47,282ffaca54c71954_Human face_0,282ffaca54c71954_Human face_0_annotator47
Human face,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,0a8657e8b5c9d7bb.jpg,OpenImages,"[[389, 99, 119, 135]]",Person,Japan,1024,683,annotator47,0a8657e8b5c9d7bb_Human face_0,0a8657e8b5c9d7bb_Human face_0_annotator47
Human head,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,0a8657e8b5c9d7bb.jpg,OpenImages,"[[377, 95, 151, 145]]",Person,Japan,1024,683,annotator47,0a8657e8b5c9d7bb_Human head_7,0a8657e8b5c9d7bb_Human head_7_annotator47
Human head,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,282ffaca54c71954.jpg,OpenImages,"[[256, 174, 179, 299]]",Person,Japan,680,1024,annotator47,282ffaca54c71954_Human head_1,282ffaca54c71954_Human head_1_annotator47
Man,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,282ffaca54c71954.jpg,OpenImages,"[[0, 70, 680, 953]]",Person,Japan,680,1024,annotator47,282ffaca54c71954_Man_3,282ffaca54c71954_Man_3_annotator47
Object 0,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,140481.jpg,LVIS,"[[193, 206, 224, 98]]",Others,Japan,640,516,annotator47,140481_Object 0_0,140481_Object 0_0_annotator47
Poster,"[0, 1, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,19b9a87786eb4c85.jpg,OpenImages,"[[222, 468, 108, 81], [227, 108, 609, 356], [708, 460, 102, 81]]",Others,Japan,1024,768,annotator47,19b9a87786eb4c85_Poster_0-1-2,19b9a87786eb4c85_Poster_0-1-2_annotator47
