category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
Girl,"[0, 1, 1, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,40a05ea0282d5897.jpg,OpenImages,"[[274, 121, 88, 88], [482, 322, 281, 252]]",Person,UK,1024,575,annotator526,40a05ea0282d5897_Girl_4-5,40a05ea0282d5897_Girl_4-5_annotator526
Human face,"[0, 1, 1, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,40a05ea0282d5897.jpg,OpenImages,"[[216, 195, 193, 253], [548, 105, 85, 96], [640, 141, 94, 137], [821, 52, 202, 522]]",Person,UK,1024,575,annotator526,40a05ea0282d5897_Human face_0-1-2-3,40a05ea0282d5897_Human face_0-1-2-3_annotator526
Mammal,"[0, 1, 1, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,40a05ea0282d5897.jpg,OpenImages,"[[196, 178, 690, 387], [202, 184, 207, 289], [274, 110, 81, 96], [336, 133, 152, 203], [397, 128, 72, 85], [443, 313, 320, 259], [541, 101, 91, 94], [598, 148, 73, 55], [630, 138, 110, 123], [818, 55, 203, 516]]",Others,UK,1024,575,annotator526,40a05ea0282d5897_Mammal_7-8-9-10-11-12-13-14-15-16,40a05ea0282d5897_Mammal_7-8-9-10-11-12-13-14-15-16_annotator526
Object 0,"[0, 1, 1, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,22487.jpg,LVIS,"[[437, 232, 32, 38]]",Others,UK,640,480,annotator526,22487_Object 0_0,22487_Object 0_0_annotator526
Office building,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,40a05ea0282d5897.jpg,OpenImages,"[[0, 0, 1024, 575]]",Place Identifier,UK,1024,575,annotator526,40a05ea0282d5897_Office building_17,40a05ea0282d5897_Office building_17_annotator526
Person,"[0, 1, 1, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,40a05ea0282d5897.jpg,OpenImages,"[[206, 55, 817, 519]]",Others,UK,1024,575,annotator526,40a05ea0282d5897_Person_6,40a05ea0282d5897_Person_6_annotator526
Woman,"[0, 1, 1, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,40a05ea0282d5897.jpg,OpenImages,"[[202, 188, 692, 363]]",Person,UK,1024,575,annotator526,40a05ea0282d5897_Woman_18,40a05ea0282d5897_Woman_18_annotator526
apron,"[0, 0, 0, 0, 1, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,128127.jpg,LVIS,"[[329, 186, 58, 89]]",Others,UK,480,640,annotator526,128127_apron_0,128127_apron_0_annotator526
identity,"[1, 1, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,0e434121f4d725a5.jpg,OpenImages,"[[25, 40, 602, 440], [597, 310, 36, 4]]",Others,UK,640,480,annotator526,0e434121f4d725a5_identity_0-1,0e434121f4d725a5_identity_0-1_annotator526
webcam,"[0, 0, 1, 0, 0, 0]",3,"[0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",54,Male,1,Prolific,5,5,6,7,6,498997.jpg,LVIS,"[[593, 130, 31, 30]]",Others,UK,640,425,annotator526,498997_webcam_78,498997_webcam_78_annotator526
