category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
Limousine,"[0, 0, 0, 1, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,06b024413ad385a7.jpg,OpenImages,"[[43, 207, 950, 440]]",Others,Japan,1024,773,annotator21,06b024413ad385a7_Limousine_0,06b024413ad385a7_Limousine_0_annotator21
Object 0,"[0, 1, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,06b024413ad385a7.jpg,OpenImages,"[[451, 163, 141, 54]]",Others,Japan,1024,773,annotator21,06b024413ad385a7_Object 0_2,06b024413ad385a7_Object 0_2_annotator21
Object 0,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,150874.jpg,LVIS,"[[203, 97, 111, 118]]",Others,Japan,640,353,annotator21,150874_Object 0_0,150874_Object 0_0_annotator21
Object 0,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,276476.jpg,LVIS,"[[255, 186, 128, 141]]",Others,Japan,640,429,annotator21,276476_Object 0_2,276476_Object 0_2_annotator21
Object 0,"[0, 1, 0, 1, 0, 0]",3,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,133645.jpg,LVIS,"[[199, 178, 170, 118]]",Others,Japan,640,427,annotator21,133645_Object 0_7,133645_Object 0_7_annotator21
Object 0,"[0, 1, 0, 1, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 1, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,146162.jpg,LVIS,"[[217, 15, 210, 227]]",Others,Japan,640,574,annotator21,146162_Object 0_3,146162_Object 0_3_annotator21
Traffic sign,"[0, 1, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,01d3fdb0f6383edb.jpg,OpenImages,"[[0, 0, 890, 685]]",Place Identifier,Japan,1024,685,annotator21,01d3fdb0f6383edb_Traffic sign_0,01d3fdb0f6383edb_Traffic sign_0_annotator21
Vehicle registration plate,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,06b024413ad385a7.jpg,OpenImages,"[[837, 485, 78, 40]]",Vehicle Plate,Japan,1024,773,annotator21,06b024413ad385a7_Vehicle registration plate_1,06b024413ad385a7_Vehicle registration plate_1_annotator21
jersey,"[1, 1, 0, 0, 1, 0]",4,"[0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 1, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,10764.jpg,LVIS,"[[220, 140, 139, 159]]",Clothing,Japan,640,424,annotator21,10764_jersey_0,10764_jersey_0_annotator21
license_plate,"[1, 1, 0, 0, 1, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,104381.jpg,LVIS,"[[138, 311, 3, 1], [127, 314, 3, 2], [173, 316, 3, 2], [244, 359, 43, 22]]",Vehicle Plate,Japan,375,500,annotator21,104381_license_plate_0-1-2-3,104381_license_plate_0-1-2-3_annotator21
refrigerator,"[0, 0, 0, 1, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,118234.jpg,LVIS,"[[0, 0, 428, 640]]",Others,Japan,428,640,annotator21,118234_refrigerator_0,118234_refrigerator_0_annotator21
ring,"[0, 0, 1, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,146162.jpg,LVIS,"[[382, 204, 14, 16]]",Accessory,Japan,640,574,annotator21,146162_ring_0,146162_ring_0_annotator21
skateboard,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,276476.jpg,LVIS,"[[254, 243, 172, 89], [318, 320, 49, 13]]",Others,Japan,640,429,annotator21,276476_skateboard_0-1,276476_skateboard_0-1_annotator21
tennis_racket,"[1, 0, 0, 1, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,146162.jpg,LVIS,"[[325, 175, 220, 210]]",Others,Japan,640,574,annotator21,146162_tennis_racket_1,146162_tennis_racket_1_annotator21
visor,"[1, 0, 0, 1, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,146162.jpg,LVIS,"[[224, 17, 201, 98]]",Others,Japan,640,574,annotator21,146162_visor_2,146162_visor_2_annotator21
