category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Clothing,"[0, 0, 0, 0, 1, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,00575b9132bb3746.jpg,OpenImages,"[[249, 0, 193, 36], [492, 96, 404, 200]]",Clothing,Japan,1024,683,annotator0,00575b9132bb3746_Clothing_3-4
Home appliance,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,2e337021bb7b4c90.jpg,OpenImages,"[[99, 84, 403, 488]]",Home interior,Japan,1024,683,annotator0,2e337021bb7b4c90_Home appliance_1
Human body,"[0, 0, 0, 0, 1, 0]",2,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,00575b9132bb3746.jpg,OpenImages,"[[200, 0, 222, 379], [382, 31, 551, 382], [382, 36, 548, 261]]",Person,Japan,1024,683,annotator0,00575b9132bb3746_Human body_7-8-9
Kitchen appliance,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,2e337021bb7b4c90.jpg,OpenImages,"[[99, 87, 394, 485]]",Others,Japan,1024,683,annotator0,2e337021bb7b4c90_Kitchen appliance_0
Land vehicle,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,00575b9132bb3746.jpg,OpenImages,"[[131, 223, 785, 433]]",Others,Japan,1024,683,annotator0,00575b9132bb3746_Land vehicle_6
Manual Label,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,326966.jpg,LVIS,"[[413, 11, 225, 286]]",Others,Japan,640,608,annotator0,326966_Manual Label_0
Object 0,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,145381.jpg,LVIS,"[[28, 5, 313, 268]]",Others,Japan,640,426,annotator0,145381_Object 0_0
Office building,"[0, 1, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,709340946095cf0d.jpg,OpenImages,"[[0, 0, 1022, 766]]",Place Identifier,Japan,1024,768,annotator0,709340946095cf0d_Office building_2
Person,"[0, 0, 0, 0, 1, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,709340946095cf0d.jpg,OpenImages,"[[302, 259, 219, 380]]",Others,Japan,1024,768,annotator0,709340946095cf0d_Person_0
Person,"[0, 0, 0, 0, 1, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,00575b9132bb3746.jpg,OpenImages,"[[197, 0, 241, 379], [380, 33, 551, 264]]",Others,Japan,1024,683,annotator0,00575b9132bb3746_Person_1-2
Sports equipment,"[0, 0, 0, 1, 0, 0]",2,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,00575b9132bb3746.jpg,OpenImages,"[[132, 225, 785, 430], [869, 146, 63, 57]]",Others,Japan,1024,683,annotator0,00575b9132bb3746_Sports equipment_10-11
Sports uniform,"[0, 0, 0, 0, 1, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,00575b9132bb3746.jpg,OpenImages,"[[382, 28, 512, 270]]",Others,Japan,1024,683,annotator0,00575b9132bb3746_Sports uniform_5
glass_(drink_container),"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,115846.jpg,LVIS,"[[36, 108, 181, 235]]",Others,Japan,640,480,annotator0,115846_glass_(drink_container)_1
horse,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,202080.jpg,LVIS,"[[247, 177, 3, 3], [414, 203, 51, 18], [216, 200, 65, 137], [401, 218, 131, 102], [368, 186, 47, 47], [241, 177, 3, 4], [263, 176, 5, 4], [207, 177, 10, 8], [276, 219, 69, 132]]",Others,Japan,600,453,annotator0,202080_horse_0-1-2-3-4-5-6-7-8
laptop_computer,"[0, 0, 0, 1, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,178192.jpg,LVIS,"[[213, 183, 176, 143], [16, 243, 233, 188]]",Screen,Japan,640,480,annotator0,178192_laptop_computer_3-4
magazine,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Male,2,CrowdWorks,3,8,5,3,2,115846.jpg,LVIS,"[[237, 263, 312, 60]]",Book,Japan,640,480,annotator0,115846_magazine_0
