category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Girl,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,02c704b941566bc9.jpg,OpenImages,"[[317, 63, 706, 619]]",Person,Japan,1024,683,annotator68,02c704b941566bc9_Girl_0
Human body,"[1, 1, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,886236e08b9b968c.jpg,OpenImages,"[[351, 86, 615, 595]]",Person,Japan,1024,682,annotator68,886236e08b9b968c_Human body_1
Human body,"[1, 1, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,82e02465a9c48fd0.jpg,OpenImages,"[[24, 146, 925, 536]]",Person,Japan,1024,683,annotator68,82e02465a9c48fd0_Human body_22
Human body,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,02c704b941566bc9.jpg,OpenImages,"[[0, 51, 259, 628], [188, 208, 107, 471], [317, 190, 148, 489], [326, 135, 157, 494], [348, 57, 330, 622], [734, 275, 132, 404], [824, 297, 163, 382]]",Person,Japan,1024,683,annotator68,02c704b941566bc9_Human body_19-20-21-22-23-24-25
Human face,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,01c9c7321fe8e116.jpg,OpenImages,"[[23, 13, 1000, 384]]",Person,Japan,1024,835,annotator68,01c9c7321fe8e116_Human face_0
Human hair,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,01c9c7321fe8e116.jpg,OpenImages,"[[0, 70, 175, 213], [0, 73, 172, 140], [223, 123, 230, 192], [624, 126, 187, 130], [709, 28, 170, 145], [713, 23, 167, 108], [828, 0, 120, 28], [913, 0, 110, 108], [917, 0, 106, 150]]",Person,Japan,1024,835,annotator68,01c9c7321fe8e116_Human hair_1-2-3-4-5-6-7-8-9
Human hair,"[1, 1, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,886236e08b9b968c.jpg,OpenImages,"[[420, 75, 395, 327]]",Person,Japan,1024,682,annotator68,886236e08b9b968c_Human hair_0
Human hair,"[1, 1, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,82e02465a9c48fd0.jpg,OpenImages,"[[27, 146, 891, 240]]",Person,Japan,1024,683,annotator68,82e02465a9c48fd0_Human hair_0
Human head,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,01c9c7321fe8e116.jpg,OpenImages,"[[3, 73, 162, 242], [250, 128, 188, 235], [613, 130, 195, 272], [721, 20, 148, 210], [923, 0, 100, 237]]",Person,Japan,1024,835,annotator68,01c9c7321fe8e116_Human head_25-26-27-28-29
Human head,"[1, 1, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,886236e08b9b968c.jpg,OpenImages,"[[491, 114, 275, 334]]",Person,Japan,1024,682,annotator68,886236e08b9b968c_Human head_2
Mammal,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,02c704b941566bc9.jpg,OpenImages,"[[0, 52, 1024, 630]]",Others,Japan,1024,683,annotator68,02c704b941566bc9_Mammal_8
Man,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,01c9c7321fe8e116.jpg,OpenImages,"[[0, 0, 1024, 835]]",Person,Japan,1024,835,annotator68,01c9c7321fe8e116_Man_42
Man,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,02c704b941566bc9.jpg,OpenImages,"[[0, 49, 259, 631], [324, 139, 157, 492]]",Person,Japan,1024,683,annotator68,02c704b941566bc9_Man_10-11
Object 0,"[0, 0, 0, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,171548.jpg,LVIS,"[[169, 386, 46, 29]]",Others,Japan,640,480,annotator68,171548_Object 0_9
Object 0,"[0, 0, 0, 1, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,119828.jpg,LVIS,"[[32, 15, 180, 88]]",Others,Japan,500,375,annotator68,119828_Object 0_0
Person,"[1, 1, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,82e02465a9c48fd0.jpg,OpenImages,"[[24, 146, 927, 536]]",Others,Japan,1024,683,annotator68,82e02465a9c48fd0_Person_11
Person,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,02c704b941566bc9.jpg,OpenImages,"[[0, 52, 1024, 630]]",Others,Japan,1024,683,annotator68,02c704b941566bc9_Person_1
Window,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,1229d5e203956ac6.jpg,OpenImages,"[[424, 55, 288, 291]]",Others,Japan,1024,768,annotator68,1229d5e203956ac6_Window_0
Woman,"[1, 1, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,886236e08b9b968c.jpg,OpenImages,"[[354, 108, 613, 571]]",Person,Japan,1024,682,annotator68,886236e08b9b968c_Woman_3
Woman,"[1, 1, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,82e02465a9c48fd0.jpg,OpenImages,"[[24, 146, 613, 383], [515, 249, 179, 380]]",Person,Japan,1024,683,annotator68,82e02465a9c48fd0_Woman_26-27
Woman,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,02c704b941566bc9.jpg,OpenImages,"[[338, 60, 341, 622]]",Person,Japan,1024,683,annotator68,02c704b941566bc9_Woman_9
license_plate,"[0, 0, 0, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,154000.jpg,LVIS,"[[439, 348, 44, 19], [547, 272, 15, 8]]",Vehicle Plate,Japan,640,480,annotator68,154000_license_plate_0-1
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 1, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,259336.jpg,LVIS,"[[420, 0, 219, 230]]",Screen,Japan,640,427,annotator68,259336_monitor_(computer_equipment) computer_monitor_2
motorcycle,"[0, 0, 0, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,171548.jpg,LVIS,"[[160, 292, 154, 165], [375, 305, 109, 164]]",Others,Japan,640,480,annotator68,171548_motorcycle_0-1
notebook,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,259336.jpg,LVIS,"[[40, 234, 381, 154]]",Printed Material,Japan,640,427,annotator68,259336_notebook_0
person,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,7,5,7,8,4,246976.jpg,LVIS,"[[272, 150, 186, 481]]",Person,Japan,499,640,annotator68,246976_person_5
