category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Clothing,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,34b65dafe328d39e.jpg,OpenImages,"[[112, 201, 192, 430]]",Clothing,Japan,1024,768,annotator241,34b65dafe328d39e_Clothing_9
Clothing,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,4a197f10b93d99d8.jpg,OpenImages,"[[0, 194, 975, 485]]",Clothing,Japan,1024,680,annotator241,4a197f10b93d99d8_Clothing_3
Desk,"[0, 1, 0, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,34b65dafe328d39e.jpg,OpenImages,"[[49, 488, 96, 131], [288, 460, 108, 89], [304, 550, 408, 153], [404, 670, 617, 96], [460, 505, 561, 209]]",Others,Japan,1024,768,annotator241,34b65dafe328d39e_Desk_10-11-12-13-14
Dress,"[1, 0, 0, 0, 1, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,4a197f10b93d99d8.jpg,OpenImages,"[[0, 226, 112, 339], [100, 230, 100, 284], [131, 224, 373, 455]]",Others,Japan,1024,680,annotator241,4a197f10b93d99d8_Dress_0-1-2
Human body,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,34b65dafe328d39e.jpg,OpenImages,"[[68, 123, 233, 502]]",Person,Japan,1024,768,annotator241,34b65dafe328d39e_Human body_3
Human body,"[1, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,3fefc0feb476ed7e.jpg,OpenImages,"[[30, 63, 581, 616]]",Person,Japan,1024,680,annotator241,3fefc0feb476ed7e_Human body_0
Human body,"[1, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,4a197f10b93d99d8.jpg,OpenImages,"[[0, 31, 975, 648]]",Person,Japan,1024,680,annotator241,4a197f10b93d99d8_Human body_4
Human face,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,00ec4ba83d648c33.jpg,OpenImages,"[[590, 281, 61, 66]]",Person,Japan,1024,768,annotator241,00ec4ba83d648c33_Human face_0
Human face,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,34b65dafe328d39e.jpg,OpenImages,"[[156, 137, 52, 80]]",Person,Japan,1024,768,annotator241,34b65dafe328d39e_Human face_0
Human head,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Female,2,CrowdWorks,9,5,8,4,6,34b65dafe328d39e.jpg,OpenImages,"[[155, 123, 68, 89]]",Person,Japan,1024,768,annotator241,34b65dafe328d39e_Human head_4
