category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
Boy,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,25ce96bd10afe1b0.jpg,OpenImages,"[[536, 401, 366, 364]]",Person,Japan,1024,768,annotator234,25ce96bd10afe1b0_Boy_11,25ce96bd10afe1b0_Boy_11_annotator234
Girl,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,01f5efed4dfda77e.jpg,OpenImages,"[[0, 0, 1024, 768]]",Person,Japan,1024,768,annotator234,01f5efed4dfda77e_Girl_1,01f5efed4dfda77e_Girl_1_annotator234
Girl,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,25ce96bd10afe1b0.jpg,OpenImages,"[[916, 220, 107, 230]]",Person,Japan,1024,768,annotator234,25ce96bd10afe1b0_Girl_3,25ce96bd10afe1b0_Girl_3_annotator234
House,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,3ac1cccd3f2246eb.jpg,OpenImages,"[[0, 0, 1022, 762]]",Others,Japan,1024,766,annotator234,3ac1cccd3f2246eb_House_0,3ac1cccd3f2246eb_House_0_annotator234
Human face,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,831ef1ed000ea182.jpg,OpenImages,"[[668, 270, 19, 24], [894, 264, 36, 38]]",Person,Japan,1024,768,annotator234,831ef1ed000ea182_Human face_0-1,831ef1ed000ea182_Human face_0-1_annotator234
Human face,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,01f5efed4dfda77e.jpg,OpenImages,"[[0, 0, 1024, 768]]",Person,Japan,1024,768,annotator234,01f5efed4dfda77e_Human face_0,01f5efed4dfda77e_Human face_0_annotator234
Human face,"[1, 0, 1, 0, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,25ce96bd10afe1b0.jpg,OpenImages,"[[342, 310, 155, 185], [659, 435, 108, 148], [744, 275, 120, 161]]",Person,Japan,1024,768,annotator234,25ce96bd10afe1b0_Human face_0-1-2,25ce96bd10afe1b0_Human face_0-1-2_annotator234
Man,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,01f5efed4dfda77e.jpg,OpenImages,"[[0, 0, 1024, 768]]",Person,Japan,1024,768,annotator234,01f5efed4dfda77e_Man_8,01f5efed4dfda77e_Man_8_annotator234
Man,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,25ce96bd10afe1b0.jpg,OpenImages,"[[728, 220, 294, 545]]",Person,Japan,1024,768,annotator234,25ce96bd10afe1b0_Man_14,25ce96bd10afe1b0_Man_14_annotator234
Object 0,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,112860.jpg,LVIS,"[[134, 215, 119, 64]]",Others,Japan,640,360,annotator234,112860_Object 0_6,112860_Object 0_6_annotator234
Person,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,01f5efed4dfda77e.jpg,OpenImages,"[[0, 0, 374, 137], [379, 0, 96, 67]]",Others,Japan,1024,768,annotator234,01f5efed4dfda77e_Person_2-3,01f5efed4dfda77e_Person_2-3_annotator234
Person,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,25ce96bd10afe1b0.jpg,OpenImages,"[[739, 238, 283, 428]]",Others,Japan,1024,768,annotator234,25ce96bd10afe1b0_Person_4,25ce96bd10afe1b0_Person_4_annotator234
Woman,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,831ef1ed000ea182.jpg,OpenImages,"[[660, 254, 35, 57]]",Person,Japan,1024,768,annotator234,831ef1ed000ea182_Woman_9,831ef1ed000ea182_Woman_9_annotator234
Woman,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,01f5efed4dfda77e.jpg,OpenImages,"[[0, 0, 1024, 768]]",Person,Japan,1024,768,annotator234,01f5efed4dfda77e_Woman_7,01f5efed4dfda77e_Woman_7_annotator234
Woman,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,25ce96bd10afe1b0.jpg,OpenImages,"[[6, 270, 536, 497], [918, 227, 105, 219]]",Person,Japan,1024,768,annotator234,25ce96bd10afe1b0_Woman_12-13,25ce96bd10afe1b0_Woman_12-13_annotator234
signboard,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",36,Male,2,CrowdWorks,5,4,6,7,8,102355.jpg,LVIS,"[[540, 102, 39, 49]]",Place Identifier,Japan,640,427,annotator234,102355_signboard_0,102355_signboard_0_annotator234
