category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
Boy,"[1, 0, 0, 1, 0, 0]",6,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,1f1c6b669606f32b.jpg,OpenImages,"[[0, 277, 430, 401], [21, 0, 313, 548], [609, 363, 412, 315]]",Person,Japan,1024,680,annotator214,1f1c6b669606f32b_Boy_2-3-4,1f1c6b669606f32b_Boy_2-3-4_annotator214
Building,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,1f1c6b669606f32b.jpg,OpenImages,"[[0, 0, 1022, 678]]",Others,Japan,1024,680,annotator214,1f1c6b669606f32b_Building_0,1f1c6b669606f32b_Building_0_annotator214
Car,"[1, 0, 0, 1, 0, 0]",6,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,049cbdf58c353959.jpg,OpenImages,"[[158, 378, 691, 423]]",Others,Japan,1024,1024,annotator214,049cbdf58c353959_Car_0,049cbdf58c353959_Car_0_annotator214
Clothing,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,1f1c6b669606f32b.jpg,OpenImages,"[[0, 468, 301, 209], [46, 180, 240, 364], [153, 119, 280, 300], [442, 126, 326, 259], [495, 7, 85, 131], [549, 0, 233, 155], [653, 580, 368, 98], [838, 73, 183, 274], [870, 0, 152, 197]]",Clothing,Japan,1024,680,annotator214,1f1c6b669606f32b_Clothing_5-6-7-8-9-10-11-12-13,1f1c6b669606f32b_Clothing_5-6-7-8-9-10-11-12-13_annotator214
Human face,"[1, 0, 0, 0, 0, 0]",6,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,1e5434d089338ca9.jpg,OpenImages,"[[75, 119, 190, 250], [343, 72, 112, 200], [549, 39, 333, 435]]",Person,Japan,1024,714,annotator214,1e5434d089338ca9_Human face_0-1-2,1e5434d089338ca9_Human face_0-1-2_annotator214
Mammal,"[1, 0, 0, 1, 0, 0]",6,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,1e5434d089338ca9.jpg,OpenImages,"[[0, 0, 320, 714], [263, 70, 198, 609], [455, 46, 568, 667]]",Others,Japan,1024,714,annotator214,1e5434d089338ca9_Mammal_4-5-6,1e5434d089338ca9_Mammal_4-5-6_annotator214
Man,"[1, 0, 0, 1, 0, 0]",6,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,1e5434d089338ca9.jpg,OpenImages,"[[0, 0, 310, 714], [455, 46, 568, 667]]",Person,Japan,1024,714,annotator214,1e5434d089338ca9_Man_7-8,1e5434d089338ca9_Man_7-8_annotator214
Object 0,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,222702.jpg,LVIS,"[[177, 54, 212, 346]]",Others,Japan,427,640,annotator214,222702_Object 0_0,222702_Object 0_0_annotator214
Object 0,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,104453.jpg,LVIS,"[[325, 81, 147, 359]]",Others,Japan,480,640,annotator214,104453_Object 0_2,104453_Object 0_2_annotator214
Object 0,"[1, 0, 0, 0, 0, 0]",6,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Female,0,CrowdWorks,3,5,6,8,4,119647.jpg,LVIS,"[[436, 238, 55, 61]]",Others,Japan,640,480,annotator214,119647_Object 0_0,119647_Object 0_0_annotator214
